config,num_trains,num_expansions,cost,makespan_pp
1,3,17,9,83
1,6,42,18,175
1,9,29685,31,295
1,12,25032,48,438
1,15,17638,69,622
1,18,15940,82,699
2,3,48,49,66
2,6,946,128,99
2,9,3698,244,169
20,3,5121,49,66
20,4,5380,72,75
20,5,5746,105,99
20,6,4535,136,114
20,7,4387,151,126
20,8,4144,189,126
20,9,13921,217,156
20,10,21479,245,156
20,11,20836,268,186
20,12,16301,304,187
20,13,15050,329,216
16,3,6516,49,66
16,4,8141,72,75
16,5,7761,108,102
16,6,7100,149,114
17,3,4696,41,67
17,4,4742,56,79
17,5,4317,79,97
18,3,5330,49,66
18,4,5985,72,75
18,5,6358,105,99
18,6,5291,136,114
19,3,5704,49,66
19,4,6017,72,77
19,5,7281,105,99
19,6,5154,130,98
