config,num_trains,num_expansions,cost,makespan_pp,search_time
15,3,284705.0,60.0,111,240.0
15,4,235760.0,133.0,144,260.0
15,5,126013.0,186.0,183,160.0
15,6,234375.0,187.0,204,270.0
15,7,141616.0,291.0,337,230.0
15,9,24191.0,417.0,543,228.0
16,3,177365.0,72.0,111,281.0
16,4,70841.0,160.0,130,217.0
16,5,583.0,212.0,196,123.0
16,6,14924.0,216.0,269,214.0
16,7,1358.0,308.0,341,151.0
17,3,351303.0,118.0,105,256.0
17,4,237278.0,247.0,127,200.0
17,5,253047.0,278.0,187,290.0
17,6,12843.0,438.0,328,20.0
17,8,111547.0,670.0,478,270.0
18,3,5916.0,89.0,101,30.0
18,4,9737.0,143.0,186,70.0
18,5,10561.0,240.0,271,100.0
18,6,26647.0,300.0,288,230.0
18,7,5779.0,441.0,443,70.0
18,8,718.0,462.0,495,70.0
14,3,409293.0,72.0,103,290.0
14,4,335551.0,129.0,176,290.0
14,5,331206.0,230.0,365,290.0
14,6,248447.0,181.0,272,230.0
14,7,21374.0,346.0,499,100.0
14,8,12823.0,362.0,579,140.0
14,9,55025.0,464.0,690,220.0
13,3,343575.0,18.0,91,290.0
13,4,290310.0,32.0,125,290.0
13,5,300254.0,46.0,143,260.0
13,6,195318.0,52.0,186,170.0
13,7,276872.0,58.0,225,240.0
13,8,96617.0,76.0,285,120.0
13,9,18112.0,116.0,351,140.0
1,3,125523.0,13.0,88,50.0
1,4,462236.0,16.0,138,260.0
1,5,78299.0,25.0,175,50.0
1,6,479614.0,24.0,246,290.0
1,7,311844.0,47.0,376,290.0
1,8,510341.0,41.0,353,290.0
1,11,66851.0,50.0,439,220.0
2,3,864223.0,15.0,102,290.0
2,4,21007.0,20.0,145,64.0
2,6,117645.0,32.0,183,90.0
3,3,138639.0,16.0,83,50.0
3,4,52547.0,33.0,134,30.0
3,5,65182.0,29.0,191,40.0
3,6,164742.0,32.0,319,120.0
3,7,195809.0,52.0,346,270.0
3,8,79123.0,51.0,380,170.0
3,10,3093.0,68.0,523,50.0
4,3,116521.0,21.0,94,50.0
4,4,99332.0,27.0,127,50.0
4,5,21337.0,50.0,147,20.0
4,6,322028.0,56.0,201,290.0
5,3,115818.0,18.0,94,50.0
5,4,96450.0,27.0,148,50.0
5,5,464295.0,36.0,157,290.0
5,6,568480.0,59.0,270,270.0
6,3,347791.0,26.0,130,290.0
6,4,289405.0,32.0,114,290.0
6,5,131152.0,38.0,160,120.0
6,6,296735.0,44.0,183,290.0
6,7,414704.0,46.0,264,290.0
6,8,79416.0,56.0,245,290.0
6,9,87714.0,66.0,324,280.0
6,10,22063.0,116.0,425,250.0
6,11,1055.0,122.0,398,40.0
7,3,350301.0,26.0,130,290.0
7,4,306834.0,24.0,131,290.0
7,5,304281.0,38.0,160,290.0
7,6,390762.0,58.0,229,290.0
7,7,376515.0,46.0,264,290.0
7,8,412735.0,48.0,265,290.0
7,9,35309.0,74.0,381,280.0
8,3,336434.0,18.0,94,290.0
8,4,277730.0,32.0,129,290.0
8,5,127421.0,34.0,168,140.0
9,3,336467.0,133.0,97,110.0
9,4,378398.0,141.0,134,140.0
9,5,173021.0,223.0,266,70.0
9,6,566745.0,253.0,320,230.0
9,9,1098.0,319.0,412,10.0
10,3,15731.0,84.0,107,10.0
10,4,188877.0,162.0,220,120.0
10,5,356888.0,168.0,216,290.0
10,8,206389.0,221.0,294,210.0
10,9,195086.0,268.0,420,280.0
11,3,329216.0,86.0,122,200.0
11,4,102310.0,85.0,138,80.0
11,6,252399.0,214.0,320,230.0
11,7,29616.0,303.0,467,40.0
11,8,41747.0,305.0,501,80.0
11,9,7809.0,433.0,702,100.0
12,3,366788.0,13.0,85,180.0
12,4,313175.0,18.0,121,180.0
12,5,34545.0,30.0,180,20.0
12,6,417330.0,27.0,242,230.0
12,7,576215.0,33.0,256,290.0
12,8,272925.0,42.0,340,140.0
