config,num_trains,num_expansions,cost,makespan_pp,search_time
1,3,26849,-1,101,10
1,4,2004,36,110,290
1,6,1435,54,191,280
1,7,61,63,231,290
2,3,26849,-1,101,10
2,4,1964,36,110,290
2,6,1476,54,191,280
2,7,599,63,231,280
3,3,28083,-1,101,10
3,4,2116,36,108,290
4,3,26295,-1,82,10
4,4,51,36,121,290
4,5,53,45,158,290
4,6,155,54,188,290
5,3,82602,-1,103,20
5,4,386,24,117,290
5,5,7108,51,185,290
5,6,570,42,171,290
6,3,22625,-1,101,10
6,4,97,24,127,2588
6,5,39159,40,166,170
6,7,686,42,243,290
7,3,3162,-1,103,-1
7,4,39942,-1,125,70
7,5,43,105,171,290
7,6,52,126,178,290
7,7,53,147,209,10
7,8,694,168,252,280
8,3,217913,-1,90,90
8,4,262502,96,122,170
9,3,217913,-1,90,90
9,4,145861,96,122,110
10,3,105983,53,85,50
11,3,213683,-1,96,80
12,3,343506,-1,91,160
12,4,96582,96,114,100
13,3,272558,36,84,70
13,4,28473,48,119,270
14,3,25113,61,84,270
15,3,150899,39,83,80
16,3,290590,89,83,90
16,4,121,144,120,290
17,3,65849,76,105,50
